service_id,date,exception_type
1,20130111,1
1,20130112,1
2,20130119,1
2,20130120,1
2,20130121,1
2,20130126,1
2,20130127,1
2,20130202,1
2,20130203,1
2,20130209,1
2,20130210,1
2,20130216,1
2,20130217,1
2,20130218,1
2,20130223,1
2,20130224,1
2,20130302,1
2,20130303,1
2,20130309,1
2,20130310,1
2,20130316,1
2,20130317,1
2,20130323,1
2,20130324,1
2,20130330,1
2,20130331,1
2,20130406,1
2,20130407,1
2,20130413,1
2,20130414,1
2,20130420,1
2,20130421,1
2,20130427,1
2,20130428,1
2,20130504,1
2,20130505,1
2,20130511,1
2,20130512,1
2,20130518,1
3,20130110,1
3,20130111,1
4,20130118,1
4,20130119,1
4,20130120,1
4,20130125,1
4,20130126,1
4,20130201,1
4,20130202,1
4,20130208,1
4,20130209,1
4,20130215,1
4,20130216,1
4,20130217,1
4,20130222,1
4,20130223,1
4,20130301,1
4,20130302,1
4,20130308,1
4,20130309,1
4,20130315,1
4,20130316,1
4,20130322,1
4,20130323,1
4,20130329,1
4,20130330,1
4,20130405,1
4,20130406,1
4,20130412,1
4,20130413,1
4,20130419,1
4,20130420,1
4,20130426,1
4,20130427,1
4,20130503,1
4,20130504,1
4,20130510,1
4,20130511,1
4,20130517,1
5,20130112,1
6,20130114,1
6,20130115,1
6,20130116,1
6,20130117,1
6,20130118,1
6,20130122,1
6,20130123,1
6,20130124,1
6,20130125,1
6,20130128,1
6,20130129,1
6,20130130,1
6,20130131,1
6,20130201,1
6,20130204,1
6,20130205,1
6,20130206,1
6,20130207,1
6,20130208,1
6,20130211,1
6,20130212,1
6,20130213,1
6,20130214,1
6,20130215,1
6,20130219,1
6,20130220,1
6,20130221,1
6,20130222,1
6,20130225,1
6,20130226,1
6,20130227,1
6,20130228,1
6,20130301,1
6,20130304,1
6,20130305,1
6,20130306,1
6,20130307,1
6,20130308,1
6,20130311,1
6,20130312,1
6,20130313,1
6,20130314,1
6,20130315,1
6,20130318,1
6,20130319,1
6,20130320,1
6,20130321,1
6,20130322,1
6,20130325,1
6,20130326,1
6,20130327,1
6,20130328,1
6,20130329,1
